Day,Percentage,Type
1,0.096130999,0
1,0.032078103,1
2,0.125497185,0
2,0.007076812,1
3,0.118833617,0
3,0.006431117,1
4,0.140993853,0
4,0.006534428,1
5,0.160674622,0
5,0.009582107,1
6,0.149956093,0
6,0.00896224,1
7,0.117490573,0
7,0.019758252,1
1,0.10915542,0
1,0.022169658,1
2,0.136032652,0
2,0.009925328,1
3,0.141528686,0
3,0.008974537,1
4,0.124043412,0
4,0.006284495,1
5,0.155048467,0
5,0.011084829,1
6,0.127011734,0
6,0.01173415,1
7,0.103705765,0
7,0.033300867,1
1,0.085635435,0
1,0.013033855,1
2,0.120610979,0
2,0.005191682,1
3,0.173702763,0
3,0.006202694,1
4,0.113971091,0
4,0.001967374,1
5,0.174604476,0
5,0.008224718,1
6,0.148646064,0
6,0.010438014,1
7,0.116239036,0
7,0.02153182,1
1,0.131573745,0
1,0.022110188,1
2,0.188743904,0
2,0.008764993,1
3,0.129893238,0
3,0.003657572,1
4,0.174937393,0
4,0.006063003,1
5,0.136911823,0
5,0.00299855,1
6,0.138098062,0
6,0.005667589,1
7,0.04669171,0
7,0.00388823,1
1,0.051804887,0
1,0.007168573,1
2,0.015197375,0
2,0.000764648,1
3,0.100519323,0
3,0.002644407,1
4,0.186574059,0
4,0.007678338,1
5,0.178577118,0
5,0.00691369,1
6,0.170261573,0
6,0.009207634,1
7,0.178226654,0
7,0.08446172,1
1,0.102435051,0
1,0.021324877,1
2,0.192767579,0
2,0.015186338,1
3,0.073546097,0
3,0.001658278,1
4,0.093445437,0
4,0.001949204,1
5,0.179239519,0
5,0.00491665,1
6,0.151252437,0
6,0.00424752,1
7,0.129462078,0
7,0.028568935,1
1,0.124666821,0
1,0.058597603,1
2,0.150712532,0
2,0.013579029,1
3,0.165844649,0
3,0.014397549,1
4,0.119797679,0
4,0.004407413,1
5,0.118601381,0
5,0.005267908,1
6,0.106449514,0
6,0.005729637,1
7,0.088672949,0
7,0.023275337,1
1,0.062937568,0
1,0.022215807,1
2,0.10861061,0
2,0.021349693,1
3,0.128300253,0
3,0.024106821,1
4,0.134088777,0
4,0.027787802,1
5,0.130552147,0
5,0.027571274,1
6,0.128906532,0
6,0.033056658,1
7,0.09332371,0
7,0.057192349,1
1,0.062687163,0
1,0.023723964,1
2,0.113146337,0
2,0.014473947,1
3,0.125490783,0
3,0.016886271,1
4,0.156435084,0
4,0.065764956,1
5,0.147850536,0
5,0.029713183,1
